,编号,网页,标题,总价,均价,小区,区域,维护人,基本信息_房屋户型,基本信息_所在楼层,基本信息_建筑面积,基本信息_户型结构,基本信息_套内面积,基本信息_建筑类型,基本信息_房屋朝向,基本信息_建筑结构,基本信息_装修情况,基本信息_梯户比例,基本信息_供暖方式,基本信息_配备电梯,基本信息_挂牌时间,基本信息_交易权属,基本信息_上次交易,基本信息_房屋用途,基本信息_房屋年限,基本信息_产权所属,基本信息_抵押信息,基本信息_房本备件,房源特色_房源特色,房源特色_适宜人群,房源特色_装修描述,房源特色_小区介绍,房源特色_核心卖点,房源特色_周边配套,房源特色_交通出行,户型分间_,小区简介_详情网页,小区简介_小区均价,小区简介_建筑年代,小区简介_建筑类型,小区简介_楼栋总数,参考首付_参数,参考首付_结果,经纪人带看反馈,房源特色_户型介绍,房源特色_税费解析,房源特色_权属抵押,房源特色_售房详情,房主自荐_,基本信息_别墅类型
0,101113975830,https://bj.ke.com/ershoufang/101113975830.html,满五年 户型方正 朝南向 采光好 正对小区花园,560 万,90192 元/平米,中湾国际,海淀 苏州桥,刘周勃,1室1厅1卫,中楼层 (共19层),62.09㎡,平层,44.32㎡,塔楼,南,钢混结构,简装,三梯十七户,集中供暖,有,2021年12月30日,商品房,2011年08月01日,公寓,满五年,非共有,无抵押,已上传房本照片,"['满五年', 'VR房源', '地铁']",本房适合准备结婚的年轻客户群体和单身年轻客户，楼龄新，小区和楼道环境好，中湾国际一栋楼两个单元，一个单元是3梯17户，另外一个单元是3梯18户，物业认真负责，小区门口24小时有人值班，单元门下有门禁，安全并且居住舒适度高。,本小区是交房时开发商统一的装修，后来又出租了，目前房子保持的很不错，厨房稍微改动了一下，改完更合理,小区是2007年商品房社区，有花园，凉亭，24小时保安，物业就在小区里。一栋楼，两个单元，G座是3梯17户，H座是3梯18户。交通方便，适合各个年龄段人群。,满五年唯 户型方正 朝南向 采光好 正对小区花园,本房交通方便，自驾出小区往北三百米可以直接上北四环，小区南边二百米是北京市地震局公交站，有26路、302路、374路、528路、126路公交车，沿着苏州街路往南643米（此数据来自百度地图）可以达到苏州街地铁站（10号线），步行去北京大学和人民大学也很方便,据地图导航显示在小区门口开车上四环534米，到十号线苏州街地铁站步行748米，到四号线中关村地铁站1000米。交通很便利。,"['卧室 25.47平米 南 落地窗', '卫生间 4.62平米 无 无窗', '阳台 9.79平米 东 南 落地窗']",https://bj.ke.com/xiaoqu/1111027382677/,106309 元/㎡,2005年建成,塔楼,1 栋,"['房屋套数 首套', '成交价 560 万元', '评估价 532 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 439.9万元', '净首付 214.2万元', '税费合计 225.7万元', '增值税 202380.95元 增值税附加 12142.85元 业主印花税 1279.4元 买方印花税 1279.4元 契税 153528.57元 土地增值税 1482245.27元 个人所得税 404246.18元', '月供（等额本息） 18353元', '月供（等额本金） 23726元', '每月递减39.22元']","{'刘周勃': '我带客户实地看过本房，房子南向。户型方正装修非常不错。居住感舒适。可拎包入住。周边配套海淀医院；北京银行，公园有海淀公园、商场有万柳华联，新中关购物，家乐福，生活条件便利。小区位置在地铁10号线苏州街站北侧，出小区有多条公交路线， 采光充足，欢迎咨询', '康宝龙': '您好，我叫康宝龙！这套房子我实地带客户看过，对房子的很多细节都非常清楚，除了房子本身一些简单的税费性质之外，对小区环境，楼的位置，包括小区周边的生活配套，交通也都非常了解，由于介绍有限，不能一一给您细说，所以非常期待您的电话或者在线咨询，祝您购房愉快！', '夏雷': '业主非常诚心出售，税费少，看房提前预约，随时签约！资深店经理从业12年有余！随时为您服务！欢迎您的咨询！', '刘开杭': '这套是朝南向的户型，70年产权的，可以正常办理落户手续，房子精装修，现在有租户，可以续租或者交房，都可以商量，'}",,,,,,
1,101114435547,https://bj.ke.com/ershoufang/101114435547.html,麓秀佳园 3室2厅 南 北 已下架,118 万,9662 元/平米,麓秀佳园,密云 溪翁庄镇,于海红,3室2厅2卫,顶层 (共5层),122.14㎡,平层,105.91㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,,2022年03月04日,商品房,2019年11月01日,普通住宅,满两年,非共有,无抵押,已上传房本照片,"['满两年', '随时看房', 'VR看装修']",,,,,,,"['客厅 37.18平米 南 落地窗', '卧室A 13.35平米 南 普通窗', '卧室B 10.17平米 北 普通窗', '卧室C 7.54平米 北 普通窗', '厨房 5.33平米 北 普通窗', '卫生间A 4.03平米 无 无窗', '卫生间B 4.31平米 无 无窗', '阳台A 4.49平米 西 东 南 落地窗', '阳台B 5.43平米 西 北 东 普通窗']",https://bj.ke.com/xiaoqu/1120034453353911/,13618 元/㎡,2004年建成,板楼,10 栋,,,"{'张伟': '这套房子我亲自看过，看房方便！链家张伟，本人在链家工作十年,M10店经理，熟悉密云周边社区，北京多数区域都有成交过房源，成功为客户安家！一直在链家，望为您提供更优质的服务！如果您有时间，随时致电！很高兴给您答疑解问！'}",,,,,,
2,101114272264,https://bj.ke.com/ershoufang/101114272264.html,滨河东里明厅明卫明厨 精装修 非顶层 1996年 位置好,259 万,38190 元/平米,滨河东里南区,大兴 枣园,朱建玲,2室1厅1卫,高楼层 (共6层),67.82㎡,平层,,板楼,西 南 北,混合结构,精装,一梯两户,集中供暖,,2022年02月19日,商品房,2016年04月06日,普通住宅,满五年,非共有,有抵押 93.9万元 农业银行 客户偿还,已上传房本照片,"['满五年', 'VR看装修']",,,小区为公房社区，配套完善，社区24小时保安，有亲子活动休闲空间。,滨河东里南北通透两居， 满五年且业主在京只有这一套房子,此房所在小区配套齐，有康庄公园，物美，工行、建行营业网点，餐饮一条街，绿地商圈，有菜市场，公园，距离医院近，居家生活方便。,,"['客厅 19.52平米 西 普通窗', '卧室A 9.11平米 南 普通窗', '卧室B 9.86平米 南 普通窗', '厨房 4.22平米 北 普通窗', '卫生间 3.73平米 北 普通窗', '阳台 2.87平米 南 普通窗', '储物间 1.45平米 无 无窗']",https://bj.ke.com/xiaoqu/1120062699430246/,35120 元/㎡,1984年建成,板楼,22 栋,"['房屋套数 首套', '成交价 259 万元', '评估价 246 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 101.5万元', '净首付 99.1万元', '税费合计 2.5万元', '契税 24605元', '月供（等额本息） 8488元', '月供（等额本金） 10973元', '每月递减18.14元']",{'李羽飞': '您好，本房我带客户看过，我对本房的情况非常了解，业主也是诚心出售。房子不临街，前后没有遮挡，采光好，另外您如果对本房感兴趣，可以发我您的实际情况，我根据您的情况给您计算首付税费以及月供等情况。'},房子是南北双通透两居室，两卧室朝南，厨房和卫生间朝北，客厅在中间带个窗户,此房满五年且业主在京只有这一套房子，您首套有1%的契税，二套有3%的契税,,,,
3,101114428022,https://bj.ke.com/ershoufang/101114428022.html,景粼原著边户型出售 自住全新精装修 带私家独立电梯,2480 万,113450 元/平米,景粼原著,朝阳 中央别墅区,申路路,4室2厅4卫,底层 (共4层),218.6㎡,复式,,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022年03月03日,商品房,2020年04月26日,普通住宅,未满两年,非共有,无抵押,已上传房本照片,['VR房源'],,业主2021年10月1日入住，短住半年，因为工作调动搬走，花费300万装修，地暖+新风系统，全屋软水+直饮水，大金空调，厨房电器为西门子，私家电梯每层都可以上下，实用性强，可以直接拎包入住。,,满二年，只有契税 花费300万精装修，短住半年 边户型南向无遮挡,,,"['客厅 74.62平米 东 南 普通窗', '卧室A 10.83平米 无 无窗', '卧室B 17.56平米 无 普通窗', '卧室C 10.47平米 无 普通窗', '卧室D 19.06平米 无 普通窗', '厨房 16.55平米 北 普通窗', '卫生间A 7.72平米 无 无窗', '卫生间B 5.07平米 无 无窗', '卫生间C 5.96平米 无 普通窗', '卫生间D 11.7平米 无 无窗', '花园 23.01平米 西 东 南 普通窗', '储物间A 3平米 无 无窗', '储物间B 21.34平米 无 无窗', '车库 46.93平米 无 无窗', '地下室 52.68平米 无 无窗', '天井 4.79平米 无 无窗', '阳光房 10.08平米 西 普通窗', '电梯A 3.51平米 无 无窗', '过道A 4.28平米 无 无窗', '电梯B 3.5平米 无 无窗', '过道B 16.42平米 无 无窗', '电梯C 3.68平米 无 无窗', '过道C 16.41平米 无 无窗', '电梯D 3.5平米 无 无窗', '过道D 6.93平米 无 无窗']",https://bj.ke.com/xiaoqu/1113851567098500/,93086 元/㎡,2005年建成,板楼/平房,51 栋,"['房屋套数 首套', '成交价 2480 万元', '评估价 2356 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 1106万元', '净首付 948.6万元', '税费合计 157.4万元', '增值税 336190.47元 契税 348357.14元 增值税附加 20171.42元 个人所得税 869527.61元', '月供（等额本息） 81275元', '月供（等额本金） 105071元', '每月递减173.70元']",,地上两层地下两层，地下负一层和负二层挑空设计，南向采光井可以直接采光到负二层，负一层带一个老人房，首层加出来一个南向房间，二层三个卧室，双卧朝南设计。,房屋产权：商品房70年住宅产权，产权面积不包含地下两层空间，满二年，原值1650万，不含车位，按照指导价过户，首套7万，二套14万,,,,
4,101113630508,https://bj.ke.com/ershoufang/101113630508.html,远洋天著二期 平墅一层下跃 精装修 面宽16米,2100 万,56534 元/平米,远洋天著二期,大兴 亦庄,刘转,4室2厅4卫,底层 (共1层),371.46㎡,复式,315.31㎡,板楼,南 北,钢混结构,精装,一梯一户,自供暖,有,2021年11月16日,商品房,2018年05月28日,普通住宅,满两年,非共有,有抵押 544万元 工商银行 客户偿还,已上传房本照片,"['满两年', 'VR房源']",房子是精装修，适合一家三代人居住，四居室，其中楼上两个卧室朝南，采光充足，家里有老人和孩子都可以享受温暖阳光。,,,远洋天著精装修，平墅一层下跃户型，大面宽，采光棒，小区环境好,,,"['餐厅 25.12平米 无 普通窗', '客厅A 17.51平米 无 无窗', '客厅B 24.44平米 无 无窗', '客厅C 31.74平米 无 普通窗', '卧室A 11.66平米 无 无窗', '卧室B 14.89平米 无 无窗', '卧室C 12.83平米 无 落地窗', '卧室D 22.33平米 无 普通窗', '卧室E 13.85平米 无 普通窗', '厨房 7平米 无 普通窗', '卫生间A 3.2平米 无 无窗', '卫生间B 4.45平米 无 无窗', '卫生间C 7.46平米 无 普通窗', '卫生间D 8.18平米 无 普通窗', '花园 177.96平米 无 普通窗', '储物间A 2.46平米 无 无窗', '影音区 19.01平米 无 无窗', '楼梯间 5.65平米 无 无窗', '过道A 2.83平米 无 无窗', '阳光房A 9.82平米 无 无窗', '过道B 1.59平米 无 无窗', '阳光房B 20.04平米 无 无窗', '过道C 3.28平米 无 无窗', '过道E 19.61平米 无 无窗', '过道F 2.32平米 无 无窗', '衣帽间A 7.07平米 无 无窗', '衣帽间B 4.99平米 无 无窗', '衣帽间C 3.53平米 无 无窗', '衣帽间D 6.95平米 无 普通窗']",https://bj.ke.com/xiaoqu/1111048050857/,51752 元/㎡,2012年建成,塔楼/板楼,40 栋,"['房屋套数 首套', '成交价 2100 万元', '评估价 1995 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 1037.7万元', '净首付 803.3万元', '税费合计 234.5万元', '增值税 485714.28元 契税 291964.28元 增值税附加 29142.85元 个人所得税 1538028.57元', '月供（等额本息） 68822元', '月供（等额本金） 88971元', '每月递减147.09元']",,小区7年了，户型方正，楼上是3居，其中两个卧室朝南，一个卧室朝北，南北通透。楼下一个卧室朝北，互不打扰。,房子是商品房，已经满二年，房子一手购买价格975万，本次网签975万，没有个税和增值税，首套只有1.5%契税,,,,
5,101114236332,https://bj.ke.com/ershoufang/101114236332.html,华远铭悦 高楼层 采光没遮挡 业主自己住,432 万,51620 元/平米,华远铭悦,通州 临河里,巨娇娇,2室1厅1卫,顶层 (共18层),83.69㎡,平层,66.99㎡,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022年02月16日,商品房,2015年10月15日,普通住宅,满五年,共有,有抵押 客户偿还,已上传房本照片,"['满五年', 'VR看装修']",,,新小区，环境好，绿化35%，人车分流，安全，很适合居住 24小时安保,全南向精装修2居室 业主自己住的 满五唯一 高楼层,社区北侧是金隅花街，有鲜果蔬，爱尚动健身房，南侧是华远好天地购物有华联，迪卡侬、中行、华夏银行，博纳国际影院，庆丰包子、大鸭梨家常菜，川府宴语等,小区门口时公交车站，快速直达15路、T107路、T115路、T195路通6路1站到八通线土桥城铁站，可以出门骑通州公租自行车到土桥城铁站 开车出行：社区东侧是东六环，可以在土桥出口出入，入市区可走京沈高速，南侧是103国道可以到通州城区，走广渠路和京通快速,"['客厅 24.64平米 南 落地窗', '卧室A 10.47平米 南 落地窗', '卧室B 11.12平米 无 未知窗户类型', '厨房 5.82平米 南 普通窗', '卫生间 4.82平米 无 无窗', '阳台A 1.97平米 南 落地窗', '阳台B 4.87平米 南 落地窗']",https://bj.ke.com/xiaoqu/1111047363965/,50498 元/㎡,2002年建成,塔楼/板楼/塔板结合/平房,23 栋,"['房屋套数 首套', '成交价 432 万元', '评估价 410 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 166.3万元', '净首付 165.2万元', '税费合计 1.1万元', '契税 10760.14元', '月供（等额本息） 14158元', '月供（等额本金） 18303元', '每月递减30.26元']",{'樊林': '本人亲自带客户看过本房满五年唯一业主诚心出售价位可谈高楼层业主自住纯南向正规两居室主卧带飘窗客厅有落地阳台视野开阔户型方正华远商业街临街餐饮华联超市电影院还有公立幼儿园可以服务整个小区交通配套开车可以走九棵树东路或公交车直达市区步行可以到八通线土桥地铁站欢迎你的24小时来电咨询。'},,,,,,
6,101113882082,https://bj.ke.com/ershoufang/101113882082.html,西马金润06年商品房，前后不临街，直通地下车库,980 万,70221 元/平米,西马金润一区,丰台 马家堡,鲁文超,3室2厅2卫,低楼层 (共16层),139.56㎡,平层,112.49㎡,板塔结合,东 南 北,钢混结构,精装,一梯三户,集中供暖,有,2021年12月16日,商品房,2017年04月28日,普通住宅,满两年,共有,无抵押,已上传房本照片,"['满两年', 'VR看装修']",本房是2006年建成的商品房，南侧是小区公园，楼栋位置安静，适合三代人口的改善家庭居住,2007年业主装修完一直自己居住，房子收拾的很干净，装修状况保持不错，如果对装修要求不高或者比较着急用房，可以直接入住,,此房东南北朝向，2006年商品房，前后不临街，南侧花园,,,"['客厅 28.81平米 南 落地窗', '餐厅 8.84平米 无 无窗', '卧室A 13.19平米 南 飘窗', '卧室B 16平米 南 普通窗', '卧室C 9.18平米 东 飘窗', '厨房 6.89平米 北 普通窗', '卫生间A 3.78平米 无 无窗', '卫生间B 6.18平米 东 普通窗', '阳台 4.26平米 东 南 落地窗', '储物间 1.75平米 无 无窗', '过道 2.01平米 无 无窗']",https://bj.ke.com/xiaoqu/1111027381062/,59605 元/㎡,1999年建成,塔楼/板楼/塔板结合,27 栋,"['房屋套数 首套', '成交价 980 万元', '评估价 931 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 431.7万元', '净首付 374.9万元', '税费合计 56.8万元', '增值税 410000元 契税 133500元 增值税附加 24600元', '月供（等额本息） 32117元', '月供（等额本金） 41520元', '每月递减68.64元']",,本房是2006年的商品房，主卧室/客厅/次卧室全部朝南，三面宽朝南，南侧为小区内部公园，主卧室有独立的卫生间，有窗户，有单独的餐厅和独立储物间，功能间配置丰富，可满足多样化的居住需求,,,,,
7,101114357313,https://bj.ke.com/ershoufang/101114357313.html,马甸南村小区 满五唯一 聚焦好房,1020 万,131783 元/平米,马甸南村,西城 马甸,谢雲达,3室1厅1卫,低楼层 (共16层),77.4㎡,平层,,塔楼,西 北,混合结构,简装,两梯七户,集中供暖,有,2022年02月26日,已购公房,2021年06月04日,普通住宅,未满两年,共有,无抵押,已上传房本照片,"['VR房源', '随时看房']",,,,满五年唯一已购公房，首套只有1%契税，下楼就是马甸桥西公交站。,小区西侧有双秀公园200米，下楼即是马甸桥西公交站，距离物美580米（百度地图），距离火箭军医院1700米（百度地图），配套成熟，生活便利！,,"['客厅 8.02平米 无 无窗', '卧室A 15.35平米 西 普通窗', '卧室B 15.2平米 北 普通窗', '卧室C 7.15平米 西 普通窗', '厨房 2.97平米 西 普通窗', '卫生间 1.91平米 无 无窗', '储A 1.76平米 无 无窗', '储物间B 1.86平米 无 无窗', '过道 2.11平米 无 无窗', '过道B 1.8平米 无 无窗']",https://bj.ke.com/xiaoqu/1111027378248/,143566 元/㎡,1982年建成,塔楼/板楼/塔板结合,16 栋,"['房屋套数 首套', '成交价 1020 万元', '评估价 969 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 457.6万元', '净首付 390.2万元', '税费合计 67.5万元', '增值税 461428.57元 增值税附加 27685.71元 土地出让金 1207.44元 契税 92285.71元 个人所得税 92285.71元', '月供（等额本息） 33428元', '月供（等额本金） 43215元', '每月递减71.44元']","{'张晶': '【没有困难的工作，只有勇敢的打工人】亲爱的客户您好，我来自成语之都邯郸，毕业于美丽的青岛大学。很高兴能为您分享我的看房关键词： 一手业主诚心卖  面价大总价低  白送2个大储物间  做完保洁卖相还好  西边有遮挡 北边临街~  欢迎咨询，希望能在您的置业之路上舔砖加瓦。', '沈浩': '尊敬的客户朋友您好，您一键即可开启您安心的购房之旅，本房业主我亲自维护面访过，了解税费价格，熟悉小区及周边情况。我是刚从商圈经理请辞下店做业务的资深房产顾问，链家精英社金鹰，9位数俱乐部成员，北京链家前二十经纪人，有着对行业本真的理解和丰富的行业经验，期待可以成为您终身的房产朋友', '朱茵': '嗨，您好我亲爱的客户，感谢您在百忙之中看我对本房的评价！我带客户看过本套房源，我了解房源的全部情况与税费，如果想了解可以点击我进行咨询。         在这里，我真诚的期待能与您相识，让我用专业和优质的服务热情换您一次愉悦的购房体验！', '陈明利': '核心卖点： 满五年唯一已购公房，首套只有1%契税，下楼就是马甸桥西公交站。 户型介绍： 房子是正规三室一厅，主卧室朝西向；次卧室朝北向；小卧室面积小一些刚好放一张床和书桌。这个户型是马甸南村6、8、10号楼里仅有的三居户型。', '马宏伟': '感谢您的咨询，我是链家马宏伟，从业八年，服务过一百多个客户业主，四年商圈经理生涯，一定能为您找到一个合适的“家”感谢信任并选择链家。关于房产有任何疑问可随时联系我。', '郭新征': '与您有缘，欢迎您点开我的店铺，此房我实地带客户看过，满五年唯一已购公房，下楼就是马甸桥西公交站。房子是正规三室一厅，主卧室朝西向；次卧室朝北向；小卧室面积小一些刚好放一张床和书桌。周边配套设施齐全，使用率高，产权清晰，业主诚意出售', '汪光伟': '您好，我是链家星光经纪人。从业9年，持有全国经纪人资格证，并通过公司签约考试认证，专业知识扎实，熟知东西城近年教改政策，精耕德胜区域多年。擅长精准匹配房源，议价谈判，节省流程时间。如您有购房需求或者房产类事宜欢迎您来电！专业的事让专业的人来做，让您省时，省心，省力！', '范会丽': '资深店经理M10范会丽希望能有给您找房的机会，我也是位8岁孩子的妈妈，养娃选房上想必咱们肯定有很多共同的想法，我肯定会真实的和您沟通，把房子的优点和缺点都给您说清楚，把您买房的事放在第一位，德胜9年，多年的经验以及保持和客户业主的沟通总结，都会给您反馈最真实的消息，为您把控风险。', '于栋梁': '此房源本人带客户实地看过，业主诚心出售，有任何问题可以随时联系。', '李诺': '我是老北京的一名宝妈！入职链家多年，精耕西城德胜商圈，资深熟悉西城和周边朝阳、海淀、东城等区域。熟悉交易流程，房产知识专业，有自己的资深团队。告诉我您的购房要求，我就能精准为您匹配符合您的房源，节省您的时间和精力！此房我带看过，满五唯一西北向三居室公房，带电梯，明厨暗卫', '吴壮成': '我带客户实际看过此房，很高兴能与您分享看房感受。房子缺点很明显，临近三环，开窗户比较吵，2层，电梯方便，也可以直接楼梯进房间，省去了等电梯的时间。房子没有装修，如果考虑以后自住，需要重新装修一下。我了解业主售房情况，有什么问题随时联系我哦。', '郑远利': '园林局单位分房，管理好，200米就是双秀公园，距离地铁19号线500米，带电梯三居室。公房性质，适合贷款，业主诚心出售，看房比较方便。', '赵成恭': '想了解此房的可以联系我，一定给你最真实的房源信息。我是链家资深店经理赵成恭，精耕西城德胜商圈10年整，连续多年获得公司优秀经纪人奖项，通过公司签约认证考试，有全国经纪人资格证书，对交易政策及流程专业，用专业乐观态度，帮你找到合适的家！', '赵鑫': '我是链家赵鑫，从业九年，2018取得全国经纪人资格证书，工作认真负责，对待客户真诚是我的原则，很高兴为您介绍本房子情况。本房子户型方正，布局合理好利用，适合有老人孩子的家庭居住，装修是自用的精装修，环保耐用，业主诚意出售，看房子方便，您的咨询我会在10秒内回复', '杨小云': '我在德胜这边精耕7年了，小区情况和周边楼盘都熟悉，服务过很多客户和业主，至今0投诉，我有丰富的二手房交易经验，熟悉交易流程，您有任何问题欢迎随时咨询。 这套房子是马甸南村小区的三居室，房子优点三居实用性强，总价低，公房满五唯一，仅有契税，不足之处北向临街有噪音，楼层低点', '田雨': '您好，我是链家田雨，从业7年，熟悉各种可交易房产的操作流程，以及贷款各方面的知识，能给予您专业的服务及建议，咨询的每位客户都会认真对待，欢迎来电咨询，24小时竭诚为您服务！'}",房子是正规三室一厅，主卧室朝西向；次卧室朝北向；小卧室面积小一些刚好放一张床和书桌。这个户型是马甸南村6、8、10号楼里仅有的三居户型。,,房子没有抵押，产权清晰，没有任何纠纷，买完即可走流程，保障顺利交易。,,,
8,101112862452,https://bj.ke.com/ershoufang/101112862452.html,商品房满五年唯一 随时交易 精装修拎包住,980 万,107598 元/平米,朝阳门南小街,东城 朝阳门内,冯跃兵,2室1厅1卫,中楼层 (共14层),91.08㎡,平层,,板塔结合,东 西,钢混结构,其他,两梯三户,集中供暖,有,2021年09月02日,商品房,2017年09月29日,普通住宅,满两年,非共有,无抵押,已上传房本照片,"['满两年', 'VR看装修']",,,,商品房满五年唯一 随时交易 精装修拎包住,,房子交通便利，出门时朝阳门南小街，地铁站是朝阳门站2号线和6号线（1600米来源于百度地图） 建国 门地铁1号线和2号线（1400米来源于百度地图） 灯市口地铁站5号线（900米来源于百度地图），出小区就是公交站24路和674路（160米禄米仓公交站）。,"['客厅 23.73平米 西 落地窗', '卧室A 17.12平米 西 普通窗', '卧室B 16.17平米 东 普通窗', '厨房 5.66平米 东 普通窗', '卫生间 3.04平米 无 无窗', '阳台 3.86平米 西 南 落地窗', '过道 2.5平米 无 无窗']",https://bj.ke.com/xiaoqu/1111027376670/,115321 元/㎡,1970年建成,塔楼/板楼/塔板结合/平房,24 栋,"['房屋套数 首套', '成交价 980 万元', '评估价 931 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 388.8万元', '净首付 374.9万元', '税费合计 14.0万元', '契税 139650元', '月供（等额本息） 32117元', '月供（等额本金） 41520元', '每月递减68.64元']","{'闫鸿飘': '随时看房，从业8年高级店经理,年度百万经纪人，我是一名优秀大学毕业生，公司党员示范岗，经手房源百余套，客户好评率100%，小区建成于2004年，示范性小区，高层板楼电梯直达，有地下车库进门有门禁，钢混板楼一梯三户，产权清晰随时签约，业主置换已经看的差不多了，诚意出售随时签约', '冯跃兵': '我是朝阳门南小街资深经纪人冯跃兵，深耕本商圈9年，个人经手上百套交易，具有丰富的经验，多次带看本房源，了解业主的最近心理，有需要随时咨询。', '白晨曦': '尊敬的客户您好，我是链家白晨曦，毕业于宁夏理工大学，本科毕业后精耕东城链家5年多，熟悉税费以及房产交易流程，亲自带客户看过本房，熟悉业主售房情况。唯有信任不可辜负，国民链家，品质为先！看房24小时随时联系我，本房我会直接和业主沟通，提高您看房选房效率，详细情况我都了解！', '杜龙起': '您好，我是链家杜龙起，实地带客户看过本房，本房是一个东西通透的两居室，西边临马路，但是还好在房间里面听不到声音，东边看向小区里面，但是有一个走廊，稍微有点影响视野还有采光，很安静，有电梯，房子干干净净，名额户口都没有问题，诚意出售，价格可以商量，业主自住看房方便，期待您的咨询。', '程立国': '您好，我是链家金牌店经理程立国，从业6年，负责本房源的销售及推广工作，和业主有过深入沟通，了解房源最新动态及价格。熟悉周边小区及在售房源情况，能够精准匹配房源，节约您的宝贵时间，如果您想了解本房源及周边房源信息，可随时跟我联系，电话24小时手机开机，欢迎您的咨询。', '王云可': '我是链家M10资深店经理王云可，入职链家9年，成交房屋套数百余套，熟知小区位置户型成交价格周边配套等详细情况，连续多年公司精英社成员，平时工作严谨负责，熟知房产交易流程，我实地看过此房，格局合理居住适宜。如果您想对此房有详细的了解，欢迎您随时咨询，24小时为您服务！', '党晶晶': '您好链家M10级别资深店经理党晶晶为您服务。本科毕业。荣获2015，2016，2017，2018，2019，2020，2021年连续7年北京链家公司前5名，连续7年公司“亿元俱乐部”，“精英社” 百万经纪人荣誉 。东城大区连续7年业绩第一。希望为您提供一个满意的购房体验。', '顾威刚': '您好，我是链家顾威刚，本人在链家工作13年，精耕社区，熟悉本小区，小区位于东二环内朝阳门南小街 ，房子是2居室，东西朝向，采光好，格局好，小区管理好，小区安静，我熟悉房源情况，房子保持很好，看房方便，欢迎来电咨询看房，祝您生活愉快', '黄明浩': '可爱的客户您好，我是链家豆瓣胡同店黄明浩。毕业于大连海洋大学，为多个家庭安家置业，希望有机会能为您服务 实地带看过本房，2003年的社区，小区的特殊户型，为数不多的大两居室。业主自住，业主换房，产权清晰，随时可交易。', '周波': '尊敬的客户您好，链家高级店经理周波很高兴为您解读本房，房子亲自带看过，目前自己住，精装修，业主这边售房也是为了换房，很诚意出售，随时可以签约，期待您的咨询。'}",房子是2004年的房子，配套齐全。一进门时一个西向的客厅带有阳台22.8平米阳台面积是4.5平米，东向卧室17.1平米带有明窗，西向卧室15.4平米带有明窗，厨房东向明窗7.2平米，卫生间干湿分离6.5平米，房子一直自己住，装修很实用。,,房子没有抵押，可以随时交易。房子已经交过土地出让金，现在是商品房满五年唯一住房，交易的时候只有契税。业主是换房，家里同意出售，可以随时交易,,,
9,101114400460,https://bj.ke.com/ershoufang/101114400460.html,金泉 邻5和15号地铁换乘站 东南房 视野无遮挡采光好,650 万,55905 元/平米,金泉时代,朝阳 亚运村,卢艳,1室1厅1卫,低楼层 (共27层),116.27㎡,暂无数据,85.33㎡,板楼,东南,钢混结构,简装,五梯二十户,集中供暖,有,2022年03月01日,商品房,2015年08月20日,公寓,满五年,非共有,无抵押,已上传房本照片,"['满五年', '地铁']",,,,房子是公司产权，仅有契税。看房方便，业主诚意出售,,200米内就是地铁5号线和15号线的换乘站——大屯东地铁站。下楼就是永辉和MAIX影院，还有一个活动广场，前面就是一个公园，居住方便。,,https://bj.ke.com/xiaoqu/1111027377318/,40183 元/㎡,2009年建成,塔楼/板楼,3 栋,"['房屋套数 首套', '成交价 650 万元', '评估价 617 万元', '贷款类型 商业贷款', '贷款比例 65%', '商贷年限 30年', '商贷利率 基准利率(4.9%)']","['首付总计 267.5万元', '净首付 248.6万元', '税费合计 18.8万元', '契税 185250元 卖方印花税 1543.75元 印花税买方 1543.75元', '月供（等额本息） 21302元', '月供（等额本金） 27539元', '每月递减45.53元']",,房子08年的公寓，框架结构，方便根据个人风格进行装修设计，主体东南，没有遮挡，视野和采光都好。,公司产权，已经满五年，客户只负责契税。业主诚意出售，价格面聊,,,,
